condition,role,sent_idx,source_sentence,o_start,o_end,error_type,correction,required
baseline,system,0,Hi my friend!,0,1,R:OTHER,"Hi,",REQUIRED
baseline,system,1,"For example, they collect plastic waste in yellow dustbin while, liquid and solid, degradable waste in red container.",7,7,M:DET,a,REQUIRED
baseline,system,1,"For example, they collect plastic waste in yellow dustbin while, liquid and solid, degradable waste in red container.",8,9,R:NOUN,"dustbin,",REQUIRED
baseline,system,1,"For example, they collect plastic waste in yellow dustbin while, liquid and solid, degradable waste in red container.",9,10,R:OTHER,while,REQUIRED
baseline,system,1,"For example, they collect plastic waste in yellow dustbin while, liquid and solid, degradable waste in red container.",12,13,R:OTHER,solid,REQUIRED
baseline,system,1,"For example, they collect plastic waste in yellow dustbin while, liquid and solid, degradable waste in red container.",15,15,M:VERB,is collected,REQUIRED
baseline,system,1,"For example, they collect plastic waste in yellow dustbin while, liquid and solid, degradable waste in red container.",16,16,M:DET,a,REQUIRED
baseline,system,2,There are numerous stores and restaurants which have junk food built everywhere.,6,7,R:DET,that,REQUIRED
baseline,system,2,There are numerous stores and restaurants which have junk food built everywhere.,10,11,U:VERB,,REQUIRED
baseline,system,5,"Maybe, in 2060 we will be able to go to the moon very easy, like go to Europe.",2,3,R:OTHER,"2060,",REQUIRED
baseline,system,5,"Maybe, in 2060 we will be able to go to the moon very easy, like go to Europe.",13,14,R:OTHER,"easily,",REQUIRED
baseline,system,5,"Maybe, in 2060 we will be able to go to the moon very easy, like go to Europe.",15,16,R:VERB:FORM,going,REQUIRED
baseline,system,6,It to belong to the oldest and the biggest museums in eastern Poland.,1,3,R:VERB:FORM,belongs,REQUIRED
baseline,system,6,It to belong to the oldest and the biggest museums in eastern Poland.,7,8,U:DET,,REQUIRED
baseline,system,7,People currently seldom listen to the radio.,1,2,U:ADV,,REQUIRED
baseline,system,7,People currently seldom listen to the radio.,6,7,R:NOUN,radio currently.,REQUIRED
baseline,system,8,"On the other hand, there are some arguments for sport specially volleyball.",9,10,R:NOUN,"sports,",REQUIRED
baseline,system,8,"On the other hand, there are some arguments for sport specially volleyball.",10,11,R:ADV,especially,REQUIRED
baseline,system,9,"Though the modern cities emerging repaidly, the problems caused by excessively exploiting the enviorment are severly various.",4,4,M:VERB:TENSE,are,REQUIRED
baseline,system,9,"Though the modern cities emerging repaidly, the problems caused by excessively exploiting the enviorment are severly various.",5,6,R:OTHER,"rapidly,",REQUIRED
baseline,system,9,"Though the modern cities emerging repaidly, the problems caused by excessively exploiting the enviorment are severly various.",13,14,R:SPELL,environment,REQUIRED
baseline,system,9,"Though the modern cities emerging repaidly, the problems caused by excessively exploiting the enviorment are severly various.",15,16,R:SPELL,severely,REQUIRED
baseline,system,10,Almost every family have a car now.,3,4,R:VERB:SVA,has,REQUIRED
baseline,system,11,"Some swimmers are Michael Phelps, Ryan Lochte, Peter Van de Hoogenband and others.",10,11,R:SPELL,"Hoogenband,",REQUIRED
baseline,system,12,"I think it's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did. and, I think it's enough from me.",15,16,R:NOUN:NUM,citizens,REQUIRED
baseline,system,12,"I think it's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did. and, I think it's enough from me.",23,24,R:VERB,"did,",REQUIRED
baseline,system,12,"I think it's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did. and, I think it's enough from me.",24,25,R:OTHER,and,REQUIRED
baseline,system,12,"I think it's okay because the purpose of you doing that is to train the citizen to be more responsible for what they did. and, I think it's enough from me.",27,28,R:OTHER,that's,REQUIRED
baseline,system,13,"They are transport by land, by air, by sea and by train.",2,3,R:VERB:FORM,transported,REQUIRED
baseline,system,13,"They are transport by land, by air, by sea and by train.",8,9,R:NOUN,"sea,",REQUIRED
baseline,system,14,This is an interesting concept because it can give the government the money it needs to solve its other problems and does n't necessarily break any rule of personal space.,21,23,R:ORTH,doesn't,REQUIRED
baseline,system,14,This is an interesting concept because it can give the government the money it needs to solve its other problems and does n't necessarily break any rule of personal space.,26,27,R:NOUN:NUM,rules,REQUIRED
baseline,system,15,"- I am so sorry Madam, excuse me for my blunder.",0,1,U:PUNCT,,REQUIRED
baseline,system,15,"- I am so sorry Madam, excuse me for my blunder.",4,5,R:OTHER,"sorry,",REQUIRED
baseline,system,15,"- I am so sorry Madam, excuse me for my blunder.",5,6,R:PUNCT,Madam.,REQUIRED
baseline,system,15,"- I am so sorry Madam, excuse me for my blunder.",6,7,R:ORTH,Excuse,REQUIRED
baseline,system,16,"My name is Jose.. I'm 25e years old and I'm from Madrid, Spain.",3,4,R:NOUN,Jose.,REQUIRED
baseline,system,16,"My name is Jose.. I'm 25e years old and I'm from Madrid, Spain.",5,6,R:OTHER,25,REQUIRED
baseline,system,19,The film is a horror movie which tells the story of a rich family who lived in an old mansion in an abandoned island after the second world war.,6,7,R:DET,that,REQUIRED
baseline,system,19,The film is a horror movie which tells the story of a rich family who lived in an old mansion in an abandoned island after the second world war.,20,21,R:PREP,on,REQUIRED
baseline,system,19,The film is a horror movie which tells the story of a rich family who lived in an old mansion in an abandoned island after the second world war.,26,29,R:ORTH,Second World War.,REQUIRED
