sentence_id,source,reference
B.train.gold.bea19_007913,The side effect of depending only on cars as the main transportation are remarkable .,The side effect of depending only on cars as our main means of transportation are remarkable .
B.train.gold.bea19_001618,"So , it would be a good choice to consider them your friends .","So , it would be a good choice to consider them your friends ."
C.train.gold.bea19_009782,"How to provide student with more real and relevant input , in the daily routine of an art class , seems to be a dare for Arts and Crafts teachers , who need to bring together the development of the artistic language and the learning of a foreign language .","How to provide students with more real and relevant input , in the daily routine of an art class , seems to be a challenge for Arts and Crafts teachers , who need to bring together the development of the artistic language and the learning of a foreign language ."
B.train.gold.bea19_001862,In your article you write from a education center with assistance for new franchisees .,In your article you write about an education center with assistance for new franchisees .
ABC.train.gold.bea19_018763,"Flowers was in every colour of rainbow , the leaves on the trees going green .","Flowers were in every colour of the rainbow , the leaves on the trees were turning green ."
ABC.train.gold.bea19_017069,"All in all , Taiwan has currency sovereignty and is well - known for its effectiveness .","All in all , Taiwan has currency sovereignty and is well - known for its effectiveness ."
ABC.train.gold.bea19_005791,"Thus , I think the future for public transportation will be more proferous .","Thus , I think the future of public transportation will be more prosperous ."
B.train.gold.bea19_008031,"You can watch reality shows , cartoons and wherever you want .","You can watch reality shows , cartoons and whatever you want ."
B.train.gold.bea19_004082,Harry and Alice are seven and one years old .,Harry and Alice are seven and one .
A.train.gold.bea19_005257,"In contrast , to my present learning , it is precisely crucial .","In contrast , in my present learning , it is absolutely crucial ."
A.train.gold.bea19_004486,Beijing is also a city which has many kinds of snacks and foods from different countries .,Beijing is also a city which has many kinds of snacks and foods from different countries .
ABC.train.gold.bea19_016268,"First of all , Dogs and cats are a very loyal creatures .","First of all , dogs and cats are very loyal creatures ."
ABC.train.gold.bea19_005141,It is not the best thing for our eyesight and our helth .,It is not the best thing for our eyesight and our health .
A.train.gold.bea19_005655,It gives the students the freedom to choose his major and the teachers .,They give the students the freedom to choose their majors and their teachers .
C.train.gold.bea19_002319,Do n't you want to feel the same ?,Do n't you want to feel the same ?
A.train.gold.bea19_009180,"when you have desire to do something , somehing you always dream to achieve it , something is touch you inside when not only do it but also when think about .","When you have the desire to do something , something you always dreamt of achieving , something touches you inside not only when you do it , but also when you think about it ."
