condition,role,sent_idx,source_sentence,o_start,o_end,error_type,correction,required
baseline,system,0,Hi my friend !,0,1,R:OTHER,"Hi,",REQUIRED
baseline,system,0,Hi my friend !,2,4,R:ORTH,friend!,REQUIRED
baseline,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",1,3,R:ORTH,"example,",REQUIRED
baseline,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",8,8,M:DET,a,REQUIRED
baseline,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",9,10,R:NOUN,"dustbin,",REQUIRED
baseline,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",11,12,U:PUNCT,,REQUIRED
baseline,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",15,16,U:PUNCT,,REQUIRED
baseline,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",18,18,M:VERB,is collected,REQUIRED
baseline,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",19,19,M:DET,a,REQUIRED
baseline,system,1,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",20,22,R:ORTH,container.,REQUIRED
baseline,system,2,There are numerous stores and restaurants which have junk food built everywhere .,6,7,R:DET,that,REQUIRED
baseline,system,2,There are numerous stores and restaurants which have junk food built everywhere .,10,11,U:VERB,,REQUIRED
baseline,system,2,There are numerous stores and restaurants which have junk food built everywhere .,11,13,R:ORTH,everywhere.,REQUIRED
baseline,system,3,"First of all , soccer is more active than other sports .",2,4,R:ORTH,"all,",REQUIRED
baseline,system,3,"First of all , soccer is more active than other sports .",10,12,R:ORTH,sports.,REQUIRED
baseline,system,4,It is exactly the same for driving cars .,7,9,R:ORTH,cars.,REQUIRED
baseline,system,5,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",0,2,R:ORTH,"Maybe,",REQUIRED
baseline,system,5,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",3,4,R:OTHER,"2060,",REQUIRED
baseline,system,5,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",14,16,R:OTHER,"easily,",REQUIRED
baseline,system,5,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",17,18,R:VERB:FORM,going,REQUIRED
