attempt,clean_output_text,elapsed_ms,max_tokens,model,prompt_id,raw_output_text,reference,seed,sentence_id,source,temperature,timeout_s,top_p
0,"Hi, my friend!",2702,128,gpt-4o-mini,baseline,"Hi, my friend!",Hi my friend !,1234,ABC.train.gold.bea19_003063,Hi my friend !,0.0,60,1.0
0,"Hi, my friend!",1452,128,gpt-4o-mini,fewshot,"Hi, my friend!",Hi my friend !,1234,ABC.train.gold.bea19_003063,Hi my friend !,0.0,60,1.0
0,"Hi, my friend!",1283,128,gpt-4o-mini,instruction,"Hi, my friend!",Hi my friend !,1234,ABC.train.gold.bea19_003063,Hi my friend !,0.0,60,1.0
0,"Hi, my friend!",440,128,gpt-4o-mini,role,"Hi, my friend!",Hi my friend !,1234,ABC.train.gold.bea19_003063,Hi my friend !,0.0,60,1.0
0,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste is collected in a red container.",1683,128,gpt-4o-mini,baseline,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste is collected in a red container.","For example , they collect plastic waste in a yellow dustbin , while liquid and solid , degradable waste goes in a red container .",1234,A.train.gold.bea19_002242,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",0.0,60,1.0
0,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste in a red container.",801,128,gpt-4o-mini,fewshot,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste in a red container.","For example , they collect plastic waste in a yellow dustbin , while liquid and solid , degradable waste goes in a red container .",1234,A.train.gold.bea19_002242,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",0.0,60,1.0
0,"For example, they collect plastic waste in a yellow dustbin while liquid and solid degradable waste in a red container.",707,128,gpt-4o-mini,instruction,"For example, they collect plastic waste in a yellow dustbin while liquid and solid degradable waste in a red container.","For example , they collect plastic waste in a yellow dustbin , while liquid and solid , degradable waste goes in a red container .",1234,A.train.gold.bea19_002242,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",0.0,60,1.0
0,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste in a red container.",1561,128,gpt-4o-mini,role,"For example, they collect plastic waste in a yellow dustbin, while liquid and solid degradable waste in a red container.","For example , they collect plastic waste in a yellow dustbin , while liquid and solid , degradable waste goes in a red container .",1234,A.train.gold.bea19_002242,"For example , they collect plastic waste in yellow dustbin while , liquid and solid , degradable waste in red container .",0.0,60,1.0
0,There are numerous stores and restaurants that have junk food everywhere.,585,128,gpt-4o-mini,baseline,There are numerous stores and restaurants that have junk food everywhere.,There are numerous stores and restaurants which have junk food built everywhere .,1234,ABC.train.gold.bea19_024519,There are numerous stores and restaurants which have junk food built everywhere .,0.0,60,1.0
0,There are numerous stores and restaurants that have junk food built everywhere.,563,128,gpt-4o-mini,fewshot,There are numerous stores and restaurants that have junk food built everywhere.,There are numerous stores and restaurants which have junk food built everywhere .,1234,ABC.train.gold.bea19_024519,There are numerous stores and restaurants which have junk food built everywhere .,0.0,60,1.0
0,There are numerous stores and restaurants that have junk food built everywhere.,535,128,gpt-4o-mini,instruction,There are numerous stores and restaurants that have junk food built everywhere.,There are numerous stores and restaurants which have junk food built everywhere .,1234,ABC.train.gold.bea19_024519,There are numerous stores and restaurants which have junk food built everywhere .,0.0,60,1.0
0,There are numerous stores and restaurants that have junk food built everywhere.,1389,128,gpt-4o-mini,role,There are numerous stores and restaurants that have junk food built everywhere.,There are numerous stores and restaurants which have junk food built everywhere .,1234,ABC.train.gold.bea19_024519,There are numerous stores and restaurants which have junk food built everywhere .,0.0,60,1.0
0,"First of all, soccer is more active than other sports.",1375,128,gpt-4o-mini,baseline,"First of all, soccer is more active than other sports.","First of all , soccer is more active than other sports .",1234,ABC.train.gold.bea19_020569,"First of all , soccer is more active than other sports .",0.0,60,1.0
0,"First of all, soccer is more active than other sports.",820,128,gpt-4o-mini,fewshot,"First of all, soccer is more active than other sports.","First of all , soccer is more active than other sports .",1234,ABC.train.gold.bea19_020569,"First of all , soccer is more active than other sports .",0.0,60,1.0
0,"First of all, soccer is more active than other sports.",474,128,gpt-4o-mini,instruction,"First of all, soccer is more active than other sports.","First of all , soccer is more active than other sports .",1234,ABC.train.gold.bea19_020569,"First of all , soccer is more active than other sports .",0.0,60,1.0
0,"First of all, soccer is more active than other sports.",555,128,gpt-4o-mini,role,"First of all, soccer is more active than other sports.","First of all , soccer is more active than other sports .",1234,ABC.train.gold.bea19_020569,"First of all , soccer is more active than other sports .",0.0,60,1.0
0,It is exactly the same for driving cars.,471,128,gpt-4o-mini,baseline,It is exactly the same for driving cars.,It is exactly the same for driving cars .,1234,ABC.train.gold.bea19_017727,It is exactly the same for driving cars .,0.0,60,1.0
0,It is exactly the same for driving cars.,462,128,gpt-4o-mini,fewshot,It is exactly the same for driving cars.,It is exactly the same for driving cars .,1234,ABC.train.gold.bea19_017727,It is exactly the same for driving cars .,0.0,60,1.0
0,It is exactly the same for driving cars.,1756,128,gpt-4o-mini,instruction,It is exactly the same for driving cars.,It is exactly the same for driving cars .,1234,ABC.train.gold.bea19_017727,It is exactly the same for driving cars .,0.0,60,1.0
0,It is exactly the same for driving cars.,816,128,gpt-4o-mini,role,It is exactly the same for driving cars.,It is exactly the same for driving cars .,1234,ABC.train.gold.bea19_017727,It is exactly the same for driving cars .,0.0,60,1.0
0,"Maybe, in 2060, we will be able to go to the moon very easily, like going to Europe.",905,128,gpt-4o-mini,baseline,"Maybe, in 2060, we will be able to go to the moon very easily, like going to Europe.","Maybe , in 2060 , we will be able to go to the moon very easily , like going to Europe .",1234,ABC.train.gold.bea19_006760,"Maybe , in 2060 we will be able to go to the moon very easy , like go to Europe .",0.0,60,1.0
