sentence_id,source,reference
A.dev.gold.bea19_000001,"It 's difficult answer at the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds .","It 's difficult to answer the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds ."
A.dev.gold.bea19_000002,"When I was younger I used to say that I wanted to be a teacher , a saleswoman and even a butcher .. I do n't know why .","When I was younger , I used to say that I wanted to be a teacher , a saleswoman and even a butcher . I do n't know why ."
A.dev.gold.bea19_000003,I would like to study Psychology because one day I would open my own psychology office and help people .,"I would like to study Psychology , because one day I would like to open my own psychology clinic and help people ."
A.dev.gold.bea19_000004,"It 's difficult because I 'll have to study hard and a lot , but I think that if you like a subject , you 'll study it easier .","It 's difficult because I 'll have to study hard and a lot , but I think that if you like a subject , you 'll study it more easily ."
A.dev.gold.bea19_000005,"Maybe I 'll change my mind , maybe not .","Maybe I 'll change my mind , maybe not ."
A.dev.gold.bea19_000006,I think that the public transport will always be in the future .,I think that public transport will always exist in the future .
A.dev.gold.bea19_000007,The rich people will buy a car but the poor people always need to use a bus or taxi .,"Rich people will buy a car , but poor people always need to use a bus or taxi ."
A.dev.gold.bea19_000008,I consider that is more convenient to drive a car because you carry on more things in your own car than travelling by car .,"I consider it more convenient to drive a car , because you carry more things in your own car than when travelling by car ."
A.dev.gold.bea19_000009,"Also , you 'll meet friendly people who usually ask to you something to be friends and change your telephone number .","Also , you 'll meet friendly people who usually ask you to be friends and exchange telephone numbers ."
A.dev.gold.bea19_000010,In my experience when I did n't have a car I used to use the bus to go to the school and go back to my house .,"In my experience , when I did n't have a car I used to use the bus to go to school and go back to my house ."
A.dev.gold.bea19_000011,"In my opinion , the car is n't necessary when you have crashed in the street , in that moment you realized the importance of a public transport .","In my opinion , a car is n't necessary when you have crashed in the street . At that moment , you realize the importance of public transport ."
A.dev.gold.bea19_000012,"In India we have various types of Public transport , like Cycle , Bike , Car , Train & Flight .","In India , we have various types of public transport , like , bikes , cars , trains & planes ."
A.dev.gold.bea19_000013,"Depending on the distance and duration to the desired place , mode of transport is chosen accordingly .","Depending on the distance and time to the desired destination , the mode of transport is chosen accordingly ."
A.dev.gold.bea19_000014,"But Generally speaking , travelling by car is much more fun when compared with other modes of transport .","But generally speaking , travelling by car is much more fun when compared with other modes of transport ."
A.dev.gold.bea19_000015,This reminds me of a trip that I have recently been to and the place is Agra .,This reminds me of a trip that I have recently been on and the place I visited was Agra .
A.dev.gold.bea19_000016,It takes around 6 hours by National highway to go from Delhi to Agra .,It takes around 6 hours by national highway to go from Delhi to Agra .
A.dev.gold.bea19_000017,"We have stopped at hotels for having food and just in case if any of us feels hungry , we have purchased some snacks just before the trip .","We stopped at hotels to have food and just in case any of us felt hungry , we purchased some snacks just before the trip ."
A.dev.gold.bea19_000018,"Since , we have the option to wait anytime we want to when we travel by car ( which is impossible when travelling by train & Flight ) .","Since , we have the option to stop anytime we want to when we travel by car ( which is impossible when travelling by train or plane ) ."
A.dev.gold.bea19_000019,"In addition to it , we can also take a comfortable short nap on the back seat and wake up fresh .","In addition to that , we can also take a comfortable short nap on the back seat and wake up fresh ."
A.dev.gold.bea19_000020,"Due to the above mentioned reasons , I am going to conclude that travelling by car is much more convenient .","For the above - mentioned reasons , I am going to conclude that travelling by car is much more convenient ."
A.dev.gold.bea19_000021,My name is Sarah .,My name is Sarah .
A.dev.gold.bea19_000022,I am 17 years old .,I am 17 years old .
A.dev.gold.bea19_000023,I am looking forward to join you in this year summer camps .,I am looking forward to joining you in this year 's summer camps .
A.dev.gold.bea19_000024,"I love children , and I enjoy looking after them . also , I organized many sports activities before in my school .","I love children , and I enjoy looking after them . Also , I organized many sports activities before at my school ."
A.dev.gold.bea19_000025,"In addition to that , i enjoy cooking .","In addition to that , I enjoy cooking ."
A.dev.gold.bea19_000026,My family think that my cook is amazing .,My family think that my cooking is amazing .
A.dev.gold.bea19_000027,I hope that you give my the chance to join you .,I hope that you give my the chance to join you .
A.dev.gold.bea19_000028,Thanks,Thanks
A.dev.gold.bea19_000029,My favourite sport is volleyball because I love plays with my friends .,My favourite sport is volleyball because I love playing with my friends .
A.dev.gold.bea19_000030,"Volleyball is a sport play every place , when I travel on the beach I like plays with my sister in the sand and after we are going to the sea .",Volleyball is a sport that is played everywhere . When I am on the beach I like playing with my sister in the sand and then we go in the sea .
A.dev.gold.bea19_000031,It is very funny .,It is great fun .
A.dev.gold.bea19_000032,when I was young I like plays with the ball in the playground and my friend and I played using the soccer goals as a network of volleyball .,When I was young I liked playing with a ball in the playground and my friend and I played using the soccer goals as a volleyball net .
A.dev.gold.bea19_000033,"Dear Jo ,","Dear Jo ,"
