sentence_id,prompt_id,model,temperature,max_tokens,top_p,seed,timeout_s,attempt,elapsed_ms,raw_output_text,clean_output_text,source,reference,token_length,length_group
B.train.gold.bea19_007913,fewshot,gpt-4o,0.0,128,1.0,1234,60,0,505,The side effect of depending only on cars as the main transportation is remarkable.,The side effect of depending only on cars as the main transportation is remarkable.,The side effect of depending only on cars as the main transportation are remarkable .,The side effect of depending only on cars as our main means of transportation are remarkable .,15,medium
B.train.gold.bea19_007913,instruction,gpt-4o,0.0,128,1.0,1234,60,0,512,The side effect of depending only on cars as the main transportation is remarkable.,The side effect of depending only on cars as the main transportation is remarkable.,The side effect of depending only on cars as the main transportation are remarkable .,The side effect of depending only on cars as our main means of transportation are remarkable .,15,medium
B.train.gold.bea19_007913,role,gpt-4o,0.0,128,1.0,1234,60,0,568,The side effect of depending only on cars as the main transportation is remarkable.,The side effect of depending only on cars as the main transportation is remarkable.,The side effect of depending only on cars as the main transportation are remarkable .,The side effect of depending only on cars as our main means of transportation are remarkable .,15,medium
C.train.gold.bea19_009782,fewshot,gpt-4o,0.0,128,1.0,1234,60,0,817,"How to provide students with more real and relevant input, in the daily routine of an art class, seems to be a dare for Arts and Crafts teachers, who need to bring together the development of the artistic language and the learning of a foreign language.","How to provide students with more real and relevant input, in the daily routine of an art class, seems to be a dare for Arts and Crafts teachers, who need to bring together the development of the artistic language and the learning of a foreign language.","How to provide student with more real and relevant input , in the daily routine of an art class , seems to be a dare for Arts and Crafts teachers , who need to bring together the development of the artistic language and the learning of a foreign language .","How to provide students with more real and relevant input , in the daily routine of an art class , seems to be a challenge for Arts and Crafts teachers , who need to bring together the development of the artistic language and the learning of a foreign language .",50,long
C.train.gold.bea19_009782,instruction,gpt-4o,0.0,128,1.0,1234,60,0,1036,"How to provide students with more real and relevant input, in the daily routine of an art class, seems to be a dare for Arts and Crafts teachers, who need to bring together the development of the artistic language and the learning of a foreign language.","How to provide students with more real and relevant input, in the daily routine of an art class, seems to be a dare for Arts and Crafts teachers, who need to bring together the development of the artistic language and the learning of a foreign language.","How to provide student with more real and relevant input , in the daily routine of an art class , seems to be a dare for Arts and Crafts teachers , who need to bring together the development of the artistic language and the learning of a foreign language .","How to provide students with more real and relevant input , in the daily routine of an art class , seems to be a challenge for Arts and Crafts teachers , who need to bring together the development of the artistic language and the learning of a foreign language .",50,long
C.train.gold.bea19_009782,role,gpt-4o,0.0,128,1.0,1234,60,0,723,"How to provide students with more real and relevant input, in the daily routine of an art class, seems to be a dare for Arts and Crafts teachers, who need to bring together the development of the artistic language and the learning of a foreign language.","How to provide students with more real and relevant input, in the daily routine of an art class, seems to be a dare for Arts and Crafts teachers, who need to bring together the development of the artistic language and the learning of a foreign language.","How to provide student with more real and relevant input , in the daily routine of an art class , seems to be a dare for Arts and Crafts teachers , who need to bring together the development of the artistic language and the learning of a foreign language .","How to provide students with more real and relevant input , in the daily routine of an art class , seems to be a challenge for Arts and Crafts teachers , who need to bring together the development of the artistic language and the learning of a foreign language .",50,long
B.train.gold.bea19_001862,fewshot,gpt-4o,0.0,128,1.0,1234,60,0,716,In your article you write from an education center with assistance for new franchisees.,In your article you write from an education center with assistance for new franchisees.,In your article you write from a education center with assistance for new franchisees .,In your article you write about an education center with assistance for new franchisees .,15,medium
B.train.gold.bea19_001862,instruction,gpt-4o,0.0,128,1.0,1234,60,0,593,"In your article, you write from an education center with assistance for new franchisees.","In your article, you write from an education center with assistance for new franchisees.",In your article you write from a education center with assistance for new franchisees .,In your article you write about an education center with assistance for new franchisees .,15,medium
B.train.gold.bea19_001862,role,gpt-4o,0.0,128,1.0,1234,60,0,711,In your article you write from an education center with assistance for new franchisees.,In your article you write from an education center with assistance for new franchisees.,In your article you write from a education center with assistance for new franchisees .,In your article you write about an education center with assistance for new franchisees .,15,medium
ABC.train.gold.bea19_017069,fewshot,gpt-4o,0.0,128,1.0,1234,60,0,520,"All in all, Taiwan has currency sovereignty and is well-known for its effectiveness.","All in all, Taiwan has currency sovereignty and is well-known for its effectiveness.","All in all , Taiwan has currency sovereignty and is well - known for its effectiveness .","All in all , Taiwan has currency sovereignty and is well - known for its effectiveness .",17,medium
